Sexo;Provincias;Periodo;Total
Ambos sexos;02 Albacete;2002T1;6,58
Ambos sexos;02 Albacete;2002T2;5,43
Ambos sexos;02 Albacete;2002T3;7,46
Ambos sexos;02 Albacete;2002T4;8,27
Ambos sexos;02 Albacete;2003T1;8,05
Ambos sexos;02 Albacete;2003T2;7,51
Ambos sexos;02 Albacete;2003T3;7,74
Ambos sexos;02 Albacete;2003T4;7,50
Ambos sexos;02 Albacete;2004T1;9,38
Ambos sexos;02 Albacete;2004T2;7,73
Ambos sexos;02 Albacete;2004T3;9,05
Ambos sexos;02 Albacete;2004T4;9,86
Ambos sexos;02 Albacete;2005T1;10,84
Ambos sexos;02 Albacete;2005T2;7,20
Ambos sexos;02 Albacete;2005T3;10,54
Ambos sexos;02 Albacete;2005T4;10,78
Ambos sexos;02 Albacete;2006T1;9,28
Ambos sexos;02 Albacete;2006T2;10,80
Ambos sexos;02 Albacete;2006T3;11,76
Ambos sexos;02 Albacete;2006T4;8,22
Ambos sexos;02 Albacete;2007T1;9,38
Ambos sexos;02 Albacete;2007T2;9,07
Ambos sexos;02 Albacete;2007T3;7,66
Ambos sexos;02 Albacete;2007T4;10,54
Ambos sexos;02 Albacete;2008T1;9,95
Ambos sexos;02 Albacete;2008T2;10,37
Ambos sexos;02 Albacete;2008T3;11,47
Ambos sexos;02 Albacete;2008T4;17,00
Ambos sexos;02 Albacete;2009T1;18,47
Ambos sexos;02 Albacete;2009T2;19,98
Ambos sexos;02 Albacete;2009T3;19,17
Ambos sexos;02 Albacete;2009T4;21,46
Ambos sexos;02 Albacete;2010T1;23,15
Ambos sexos;02 Albacete;2010T2;24,06
Ambos sexos;02 Albacete;2010T3;22,20
Ambos sexos;02 Albacete;2010T4;21,25
Ambos sexos;02 Albacete;2011T1;23,31
Ambos sexos;02 Albacete;2011T2;24,41
Ambos sexos;02 Albacete;2011T3;25,74
Ambos sexos;02 Albacete;2011T4;25,40
Ambos sexos;02 Albacete;2012T1;29,20
Ambos sexos;02 Albacete;2012T2;32,36
Ambos sexos;02 Albacete;2012T3;32,17
Ambos sexos;02 Albacete;2012T4;33,94
Ambos sexos;02 Albacete;2013T1;33,83
Ambos sexos;02 Albacete;2013T2;30,59
Ambos sexos;02 Albacete;2013T3;30,53
Ambos sexos;02 Albacete;2013T4;29,00
Ambos sexos;02 Albacete;2014T1;27,12
Ambos sexos;02 Albacete;2014T2;26,62
Ambos sexos;02 Albacete;2014T3;29,03
Ambos sexos;02 Albacete;2014T4;27,30
Ambos sexos;02 Albacete;2015T1;28,82
Ambos sexos;02 Albacete;2015T2;24,66
Ambos sexos;02 Albacete;2015T3;23,28
Ambos sexos;02 Albacete;2015T4;21,97
Ambos sexos;02 Albacete;2016T1;24,67
Ambos sexos;02 Albacete;2016T2;24,27
Ambos sexos;02 Albacete;2016T3;23,06
Ambos sexos;02 Albacete;2016T4;23,31
Ambos sexos;02 Albacete;2017T1;24,48
Ambos sexos;02 Albacete;2017T2;25,32
Ambos sexos;02 Albacete;2017T3;20,81
Ambos sexos;02 Albacete;2017T4;22,01
Ambos sexos;02 Albacete;2018T1;23,82
Ambos sexos;02 Albacete;2018T2;20,66
Ambos sexos;02 Albacete;2018T3;16,86
Ambos sexos;02 Albacete;2018T4;17,59
Ambos sexos;02 Albacete;2019T1;17,85
Ambos sexos;02 Albacete;2019T2;17,70
Ambos sexos;02 Albacete;2019T3;16,50
Ambos sexos;02 Albacete;2019T4;16,69
Ambos sexos;02 Albacete;2020T1;20,72
Ambos sexos;02 Albacete;2020T2;17,41
Ambos sexos;02 Albacete;2020T3;17,48
Ambos sexos;02 Albacete;2020T4;17,44
Ambos sexos;02 Albacete;2021T1;19,93
Ambos sexos;02 Albacete;2021T2;14,49
Ambos sexos;02 Albacete;2021T3;15,67
Ambos sexos;02 Albacete;2021T4;12,02
Ambos sexos;02 Albacete;2022T1;16,62
Ambos sexos;02 Albacete;2022T2;12,65
Ambos sexos;02 Albacete;2022T3;11,01
Ambos sexos;02 Albacete;2022T4;11,11
Ambos sexos;02 Albacete;2023T1;13,89
Ambos sexos;02 Albacete;2023T2;12,74
Ambos sexos;02 Albacete;2023T3;9,11
Ambos sexos;02 Albacete;2023T4;12,09
Ambos sexos;02 Albacete;2024T1;13,23
Ambos sexos;02 Albacete;2024T2;10,74
Ambos sexos;02 Albacete;2024T3;9,92
Ambos sexos;03 Alicante/Alacant;2002T1;10,00
Ambos sexos;03 Alicante/Alacant;2002T2;11,47
Ambos sexos;03 Alicante/Alacant;2002T3;10,51
Ambos sexos;03 Alicante/Alacant;2002T4;10,76
Ambos sexos;03 Alicante/Alacant;2003T1;12,80
Ambos sexos;03 Alicante/Alacant;2003T2;12,54
Ambos sexos;03 Alicante/Alacant;2003T3;11,96
Ambos sexos;03 Alicante/Alacant;2003T4;12,05
Ambos sexos;03 Alicante/Alacant;2004T1;10,27
Ambos sexos;03 Alicante/Alacant;2004T2;11,15
Ambos sexos;03 Alicante/Alacant;2004T3;10,60
Ambos sexos;03 Alicante/Alacant;2004T4;10,44
Ambos sexos;03 Alicante/Alacant;2005T1;10,26
Ambos sexos;03 Alicante/Alacant;2005T2;9,38
Ambos sexos;03 Alicante/Alacant;2005T3;8,58
Ambos sexos;03 Alicante/Alacant;2005T4;10,28
Ambos sexos;03 Alicante/Alacant;2006T1;10,86
Ambos sexos;03 Alicante/Alacant;2006T2;8,48
Ambos sexos;03 Alicante/Alacant;2006T3;8,73
Ambos sexos;03 Alicante/Alacant;2006T4;10,42
Ambos sexos;03 Alicante/Alacant;2007T1;10,93
Ambos sexos;03 Alicante/Alacant;2007T2;10,39
Ambos sexos;03 Alicante/Alacant;2007T3;9,46
Ambos sexos;03 Alicante/Alacant;2007T4;11,23
Ambos sexos;03 Alicante/Alacant;2008T1;10,96
Ambos sexos;03 Alicante/Alacant;2008T2;13,57
Ambos sexos;03 Alicante/Alacant;2008T3;13,50
Ambos sexos;03 Alicante/Alacant;2008T4;15,92
Ambos sexos;03 Alicante/Alacant;2009T1;21,43
Ambos sexos;03 Alicante/Alacant;2009T2;21,25
Ambos sexos;03 Alicante/Alacant;2009T3;21,81
Ambos sexos;03 Alicante/Alacant;2009T4;23,36
Ambos sexos;03 Alicante/Alacant;2010T1;23,20
Ambos sexos;03 Alicante/Alacant;2010T2;23,96
Ambos sexos;03 Alicante/Alacant;2010T3;24,80
Ambos sexos;03 Alicante/Alacant;2010T4;24,68
Ambos sexos;03 Alicante/Alacant;2011T1;23,58
Ambos sexos;03 Alicante/Alacant;2011T2;22,73
Ambos sexos;03 Alicante/Alacant;2011T3;23,56
Ambos sexos;03 Alicante/Alacant;2011T4;25,76
Ambos sexos;03 Alicante/Alacant;2012T1;29,39
Ambos sexos;03 Alicante/Alacant;2012T2;27,29
Ambos sexos;03 Alicante/Alacant;2012T3;27,22
Ambos sexos;03 Alicante/Alacant;2012T4;28,20
Ambos sexos;03 Alicante/Alacant;2013T1;29,34
Ambos sexos;03 Alicante/Alacant;2013T2;27,33
Ambos sexos;03 Alicante/Alacant;2013T3;26,87
Ambos sexos;03 Alicante/Alacant;2013T4;29,48
Ambos sexos;03 Alicante/Alacant;2014T1;28,79
Ambos sexos;03 Alicante/Alacant;2014T2;26,08
Ambos sexos;03 Alicante/Alacant;2014T3;24,34
Ambos sexos;03 Alicante/Alacant;2014T4;24,91
